idpozo,pet_2024,pet_2025,gas_2024,gas_2025,var_pet,var_gas
212,878.86,675.18,98.15,76.47,-23.18,-22.09
213,0.0,0.0,0.0,0.0,,
214,1188.46,858.24,66.36,48.61,-27.79,-26.75
215,704.9200000000001,603.81,52.660000000000004,45.76,-14.34,-13.1
216,388.84000000000003,451.65999999999997,26.72,31.310000000000002,16.16,17.18
217,322.49,267.91,24.17,20.33,-16.92,-15.89
218,913.55,709.35,13.4,10.53,-22.35,-21.42
219,221.64000000000001,174.36,20.64,16.45,-21.33,-20.3
220,0.0,0.0,0.0,0.0,,
221,0.0,0.0,0.0,0.0,,
223,69.73,0.0,5.78,0.0,-100.0,-100.0
224,0.0,0.0,0.0,0.0,,
225,253.09,372.92,13.59,20.35,47.35,49.74
226,414.76,411.79,77.23,77.7,-0.72,0.61
227,0.0,0.0,0.0,0.0,,
228,634.02,533.51,106.2,90.65,-15.85,-14.64
229,0.0,0.0,0.0,0.0,,
230,98.24,84.53,6.98,6.09,-13.96,-12.75
231,162.98,130.91,15.16,12.36,-19.68,-18.47
232,963.64,854.92,32.0,28.77,-11.28,-10.09
233,291.95,389.69,12.25,16.44,33.48,34.2
234,0.0,0.0,0.0,0.0,,
235,436.59,364.45,24.47,20.71,-16.52,-15.37
236,160.24,145.93,15.02,13.8,-8.93,-8.12
237,360.77,269.62,20.47,15.46,-25.27,-24.47
238,0.0,0.0,0.0,0.0,,
239,197.98000000000002,287.17,3.4,4.970000000000001,45.05,46.18
240,319.4,331.91,2.47,2.6,3.92,5.26
241,507.45,597.25,5.57,6.609999999999999,17.7,18.67
242,159.91,157.51,2.38,2.36,-1.5,-0.84
243,592.92,540.28,7.05,6.49,-8.88,-7.94
244,188.66,186.04,3.17,3.18,-1.39,0.32
245,0.0,0.0,0.0,0.0,,
246,0.0,0.0,0.0,0.0,,
251,363.96,282.87,10.2,8.05,-22.28,-21.08
252,0.0,0.0,0.0,0.0,,
387,424.37,123.63,52.88,16.310000000000002,-70.87,-69.16
388,0.0,0.0,0.0,0.0,,
389,0.0,0.0,0.0,0.0,,
405,0.0,0.0,0.0,0.0,,
407,0.0,0.0,0.0,0.0,,
415,0.0,0.0,0.0,0.0,,
416,0.0,0.0,0.0,0.0,,
417,0.0,0.0,0.0,0.0,,
454,0.0,0.0,0.0,0.0,,
458,13.1,3.58,632.89144,407.16499,-72.67,-35.67
459,0.0,0.0,0.0,0.0,,
460,29.75,19.59,4413.47008,5645.38091,-34.15,27.91
466,798.27,448.11,562.48,370.03,-43.86,-34.21
471,0.0,0.0,0.0,0.0,,
472,5.99,0.0,0.0,0.0,-100.0,
474,0.0,0.0,0.0,0.0,,
475,338.57,189.86,55.57,41.91,-43.92,-24.58
476,0.0,0.0,0.0,0.0,,
477,0.0,0.0,0.0,0.0,,
483,0.0,0.0,0.0,0.0,,
484,10.7,6.83,7.85,6.21,-36.17,-20.89
486,0.0,0.0,0.0,0.0,,
490,0.0,0.0,0.0,0.0,,
492,0.0,0.0,0.0,0.0,,
494,0.0,0.0,183.0,167.0,,-8.74
495,282.2333,247.2999,52.918800000000005,46.369,-12.38,-12.38
496,165.7142,140.9804,52.8875,44.9938,-14.93,-14.93
497,0.0,10.35,0.0,4.6,,
500,175.7084,155.4791,140.5666333,124.3834,-11.51,-11.51
501,173.9584,195.4041,148.5603833,137.2628,12.33,-7.6
506,0.0,119.667,0.0,316.33299999999997,,
530,557.6698032,578.21,0.0,0.0,3.68,
533,620.4301968999999,783.09,0.0,0.0,26.22,
541,0.0,0.0,0.0,0.0,,
542,0.0,0.0,0.0,0.0,,
543,0.0,0.0,0.0,0.0,,
544,499.778,367.76861,237.03823,231.69637,-26.41,-2.25
545,0.0,0.0,0.0,0.0,,
546,0.0,0.0,0.0,0.0,,
549,0.0,0.0,0.0,0.0,,
550,0.0,0.0,0.0,0.0,,
552,0.0,0.0,0.0,0.0,,
555,61.219362000000004,76.306509,46.577708,61.074976,24.64,31.12
556,406.75352,274.16125,209.468444,138.875541,-32.6,-33.7
558,375.108702,243.03265,331.93837,265.67179,-35.21,-19.96
