idpozo,empresa,provincia,tipo_de_recurso,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,tef,inyeccion_total,eficiencia_pet
164941,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,155502.48,10598.289,135180.435,0.0,0.0,323.322,0.0,
164942,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,86605.735,5632.773,87161.39300000001,0.0,0.0,320.034,0.0,
164204,TOTAL AUSTRAL S.A.,Neuquén,NO CONVENCIONAL,71355.78627899999,30607.767317395002,17529.019946,0.0,0.0,349.4284722222222,0.0,
165093,KILWER S.A.,Neuquén,NO CONVENCIONAL,70574.0102,5055.25295,4560.239787,0.0,0.0,313.35486,0.0,
164205,TOTAL AUSTRAL S.A.,Neuquén,NO CONVENCIONAL,68127.048569,31248.053006838,19392.141367,0.0,0.0,349.7944444444443,0.0,
165097,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,67050.97,6533.03,6162.58,0.0,0.0,297.16,0.0,
164127,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,67032.091,3410.775,17261.145,0.0,0.0,350.972,0.0,
164799,YPF S.A.,Neuquén,NO CONVENCIONAL,62968.409999999996,7498.110000000001,1600.8,0.0,0.0,364.61,0.0,
164713,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,62419.261,5458.492,19598.851,0.0,0.0,358.028,0.0,
164802,YPF S.A.,Neuquén,NO CONVENCIONAL,61163.45,7132.0599999999995,2440.04,0.0,0.0,365.24,0.0,
164806,YPF S.A.,Neuquén,NO CONVENCIONAL,58381.700000000004,4897.19,5099.6,0.0,0.0,357.58,0.0,
164810,YPF S.A.,Neuquén,NO CONVENCIONAL,57826.61,12732.69,8896.75,0.0,0.0,352.55,0.0,
165174,YPF S.A.,Neuquén,NO CONVENCIONAL,57024.54,8467.48,7966.98,0.0,0.0,284.36,0.0,
165173,YPF S.A.,Neuquén,NO CONVENCIONAL,56894.99,8283.16,8096.27,0.0,0.0,287.97,0.0,
165030,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,56791.495,5448.599,20836.001,0.0,0.0,293.30400000000003,0.0,
164803,YPF S.A.,Neuquén,NO CONVENCIONAL,55235.09,4648.08,4538.91,0.0,0.0,357.12,0.0,
165096,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,55066.93,5414.24,6651.42,0.0,0.0,296.2,0.0,
164809,YPF S.A.,Neuquén,NO CONVENCIONAL,55028.42,12091.59,7727.07,0.0,0.0,345.16,0.0,
164574,YPF S.A.,Neuquén,NO CONVENCIONAL,53741.04,8222.4,3944.7599999999998,0.0,0.0,365.63,0.0,
164711,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,53065.91,4707.227,11943.277,0.0,0.0,358.188,0.0,
164411,YPF S.A.,Neuquén,NO CONVENCIONAL,52858.56,9559.73,17109.47,0.0,0.0,344.45,0.0,
164907,KILWER S.A.,Neuquén,NO CONVENCIONAL,52252.4691,3782.08515,9608.97153,0.0,0.0,335.588877,0.0,
165003,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,51447.152,2357.0111,3593.613264,0.0,0.0,361.61806,0.0,
165172,YPF S.A.,Neuquén,NO CONVENCIONAL,51094.4,7409.7,5884.84,0.0,0.0,273.93,0.0,
164660,YPF S.A.,Neuquén,NO CONVENCIONAL,51063.740000000005,14345.31,8172.55,0.0,0.0,358.68,0.0,
165027,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,50878.603,5867.031,18024.135000000002,0.0,0.0,285.647,0.0,
164800,YPF S.A.,Neuquén,NO CONVENCIONAL,50789.17,6365.2699999999995,2127.62,0.0,0.0,359.75,0.0,
165363,YPF S.A.,Neuquén,NO CONVENCIONAL,50655.89,5204.18,6272.43,0.0,0.0,219.8,0.0,
164905,KILWER S.A.,Neuquén,NO CONVENCIONAL,50420.401,4130.4067,9225.5624,0.0,0.0,357.6743,0.0,
165094,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,50231.8,5054.43,4539.76,0.0,0.0,298.38,0.0,
164827,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,50187.636,4649.707,13705.774,0.0,0.0,339.197,0.0,
165275,YPF S.A.,Neuquén,NO CONVENCIONAL,50000.58,20638.47,15436.14,0.0,0.0,255.47,0.0,
163524,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Neuquén,NO CONVENCIONAL,49015.11,25713.91,16122.71,0.0,994.37,358.0,994.37,49.292627492784376
164797,YPF S.A.,Neuquén,NO CONVENCIONAL,48511.51,6750.42,1479.02,0.0,0.0,351.82,0.0,
165279,YPF S.A.,Neuquén,NO CONVENCIONAL,48478.979999999996,18141.95,14535.84,0.0,0.0,255.2,0.0,
164882,YPF S.A.,Neuquén,NO CONVENCIONAL,48430.0,4817.02,13553.34,0.0,0.0,359.39,0.0,
164653,YPF S.A.,Neuquén,NO CONVENCIONAL,48237.14,7658.1,9208.45,0.0,0.0,255.57,0.0,
165294,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,48079.588,4628.987,9197.28,0.0,0.0,223.174,0.0,
164731,YPF S.A.,Neuquén,NO CONVENCIONAL,47507.13,5711.5599999999995,4283.81,0.0,0.0,364.51,0.0,
164886,YPF S.A.,Neuquén,NO CONVENCIONAL,46781.64,4356.93,7869.610000000001,0.0,0.0,348.78,0.0,
164883,YPF S.A.,Neuquén,NO CONVENCIONAL,46358.35,4883.92,10187.9,0.0,0.0,357.9,0.0,
164829,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,45910.568999999996,4465.611,11494.596,0.0,0.0,358.374,0.0,
164885,YPF S.A.,Neuquén,NO CONVENCIONAL,45657.11,4469.07,11078.3,0.0,0.0,356.33,0.0,
165422,YPF S.A.,Neuquén,NO CONVENCIONAL,45013.68,6468.71,11252.99,0.0,0.0,198.04,0.0,
165277,YPF S.A.,Neuquén,NO CONVENCIONAL,44999.41,17146.05,12910.2,0.0,0.0,255.16,0.0,
164767,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,44876.554,3624.4510999999998,4846.5627,0.0,0.0,365.625,0.0,
163527,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Neuquén,NO CONVENCIONAL,44774.31,22051.576,35909.92,0.0,0.0,351.0,0.0,
165482,KILWER S.A.,Neuquén,NO CONVENCIONAL,44748.4019,2613.38644,11560.510102,0.0,0.0,164.28611,0.0,
164962,YPF S.A.,Neuquén,NO CONVENCIONAL,44576.15,3824.74,14985.83,0.0,0.0,345.44,0.0,
164801,YPF S.A.,Neuquén,NO CONVENCIONAL,44563.01,5192.32,1246.79,0.0,0.0,357.02,0.0,
163526,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Neuquén,NO CONVENCIONAL,44309.54,20669.96,15659.75,0.0,1017.97,327.0,1017.97,43.52735345835339
163693,YPF S.A.,Neuquén,NO CONVENCIONAL,44187.54,11375.07,4886.51,0.0,0.0,344.1,0.0,
164968,YPF S.A.,Neuquén,NO CONVENCIONAL,44160.26,8834.59,31895.17,0.0,0.0,314.57,0.0,
165414,YPF S.A.,Neuquén,NO CONVENCIONAL,44036.17,2862.36,6909.16,0.0,0.0,205.29,0.0,
165420,YPF S.A.,Neuquén,NO CONVENCIONAL,43851.06,6238.7300000000005,15237.22,0.0,0.0,203.19,0.0,
164798,YPF S.A.,Neuquén,NO CONVENCIONAL,43825.3,5309.18,1698.09,0.0,0.0,353.92,0.0,
163897,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,43624.0141,2154.4351,6117.575305,0.0,0.0,362.24305,0.0,
165175,YPF S.A.,Neuquén,NO CONVENCIONAL,43587.19,6663.95,12891.56,0.0,0.0,267.97,0.0,
164967,YPF S.A.,Neuquén,NO CONVENCIONAL,43525.27,8631.710000000001,16617.14,0.0,0.0,266.39,0.0,
165350,YPF S.A.,Neuquén,NO CONVENCIONAL,43352.909999999996,6910.15,28818.74,0.0,0.0,208.82,0.0,
164573,YPF S.A.,Neuquén,NO CONVENCIONAL,43012.020000000004,6626.22,3395.75,0.0,0.0,365.09000000000003,0.0,
164010,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,42948.86,3828.3,87.34,0.0,0.0,295.33,0.0,
165352,YPF S.A.,Neuquén,NO CONVENCIONAL,42864.23,6230.5199999999995,33545.659999999996,0.0,0.0,201.19,0.0,
165095,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,42801.64,4162.24,5737.860000000001,0.0,0.0,298.03,0.0,
164944,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,42375.373999999996,1966.06,9965.882,0.0,0.0,301.151,0.0,
164969,YPF S.A.,Neuquén,NO CONVENCIONAL,42303.409999999996,9019.85,25028.17,0.0,0.0,322.51,0.0,
164730,YPF S.A.,Neuquén,NO CONVENCIONAL,41728.98,5010.58,7551.59,0.0,0.0,364.45,0.0,
164649,YPF S.A.,Neuquén,NO CONVENCIONAL,41530.93,5417.15,10670.85,0.0,0.0,357.57,0.0,
164828,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,41356.312,3987.707,50155.492,0.0,0.0,341.331,0.0,
165089,PAMPA ENERGIA S.A.,Neuquén,NO CONVENCIONAL,41289.92,3110.2798,15874.957699999999,0.0,0.0,308.47917,0.0,
164808,YPF S.A.,Neuquén,NO CONVENCIONAL,41101.25,9810.43,18403.579999999998,0.0,0.0,324.34,0.0,
164657,YPF S.A.,Neuquén,NO CONVENCIONAL,40682.28,9487.0,3259.37,0.0,0.0,352.96,0.0,
163762,YPF S.A.,Neuquén,NO CONVENCIONAL,40537.53,5026.3099999999995,2366.76,0.0,0.0,358.83,0.0,
164410,YPF S.A.,Neuquén,NO CONVENCIONAL,40431.58,6719.59,22515.27,0.0,0.0,332.42,0.0,
161513,YPF S.A.,Neuquén,NO CONVENCIONAL,40341.05,6354.14,7041.62,0.0,0.0,364.7,0.0,
165361,YPF S.A.,Neuquén,NO CONVENCIONAL,40217.7,4046.3,7247.2,0.0,0.0,221.0,0.0,
164884,YPF S.A.,Neuquén,NO CONVENCIONAL,40061.590000000004,3960.06,6665.42,0.0,0.0,353.77,0.0,
164848,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,39984.154,6927.8428,43444.407,0.0,0.0,352.10695,0.0,
164970,YPF S.A.,Neuquén,NO CONVENCIONAL,39861.23,8319.47,31221.82,0.0,0.0,321.22,0.0,
164796,YPF S.A.,Neuquén,NO CONVENCIONAL,39855.63,10308.8,13922.51,0.0,0.0,345.43,0.0,
164647,YPF S.A.,Neuquén,NO CONVENCIONAL,39785.3,5637.530000000001,5145.09,0.0,0.0,355.26,0.0,
165376,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,39675.979999999996,5153.983,19893.193,0.0,0.0,203.959,0.0,
164830,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,39491.088,4226.052,24727.192,0.0,0.0,349.976,0.0,
164994,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,39455.5202,1954.77797,10287.56303,0.0,0.0,361.59723,0.0,
165005,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,39406.2007,2216.59153,9880.112070000001,0.0,0.0,361.51042,0.0,
165438,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,39320.139,4090.904,13732.969,0.0,0.0,178.887,0.0,
165029,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,39126.736,5377.159,14773.448,0.0,0.0,264.059,0.0,
164795,YPF S.A.,Neuquén,NO CONVENCIONAL,39122.57,10523.27,15963.289999999999,0.0,0.0,351.74,0.0,
165100,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,38899.644,2741.99,20030.982,0.0,0.0,273.18,0.0,
165296,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,38667.272,3866.369,8878.686,0.0,0.0,227.02,0.0,
165187,YPF S.A.,Neuquén,NO CONVENCIONAL,38525.38,4432.98,5600.84,0.0,0.0,275.88,0.0,
164656,YPF S.A.,Neuquén,NO CONVENCIONAL,38456.97,10701.19,12413.7,0.0,0.0,327.62,0.0,
165362,YPF S.A.,Neuquén,NO CONVENCIONAL,38309.67,3699.56,5195.63,0.0,0.0,219.96,0.0,
164652,YPF S.A.,Neuquén,NO CONVENCIONAL,37830.19,6386.99,36646.950000000004,0.0,0.0,323.99,0.0,
163757,YPF S.A.,Neuquén,NO CONVENCIONAL,37781.14,5082.33,29076.79,0.0,0.0,352.97,0.0,
164971,YPF S.A.,Neuquén,NO CONVENCIONAL,37557.01,7548.8,19381.22,0.0,0.0,299.28,0.0,
164851,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,37552.6235,6564.7983,38628.323,0.0,0.0,342.37014,0.0,
164733,YPF S.A.,Neuquén,NO CONVENCIONAL,37492.76,4643.22,3200.54,0.0,0.0,307.8,0.0,
165180,YPF S.A.,Neuquén,NO CONVENCIONAL,37447.9,5538.58,3268.89,0.0,0.0,273.06,0.0,
164861,CHEVRON ARGENTINA S.R.L.,Neuquén,NO CONVENCIONAL,37328.2,18086.85437,17135.47,0.0,0.0,317.1883333366667,0.0,
163525,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Neuquén,NO CONVENCIONAL,36823.51,23554.2,43479.79,0.0,0.06,355.0,0.06,613725.1666666667
164732,YPF S.A.,Neuquén,NO CONVENCIONAL,36759.28,5029.75,17696.05,0.0,0.0,353.25,0.0,
164963,YPF S.A.,Neuquén,NO CONVENCIONAL,36758.38,3037.2200000000003,18701.72,0.0,0.0,340.71000000000004,0.0,
164964,YPF S.A.,Neuquén,NO CONVENCIONAL,36757.41,3090.06,15688.07,0.0,0.0,340.84000000000003,0.0,
