idpozo,1,2,3,4,5,6,7,8,9,10,11,12,primer_semestre,segundo_semestre,variacion
212,82.1,75.35,77.78,74.78,73.99,75.26,66.84,74.18,68.65,71.39,71.99,66.55,459.26,419.6,-8.64
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
214,114.85,98.96,94.53,92.36,100.17,92.4,86.5,97.71,99.57,107.61,105.76,98.04,593.2700000000001,595.1899999999999,0.32
215,57.4,51.23,59.88,56.79,60.43,56.32,46.3,61.49,62.13,65.29,63.04,64.62,342.04999999999995,362.87,6.09
216,40.56,37.61,38.4,39.28,40.77,18.68,0.0,0.67,43.12,39.41,43.92,46.42,215.3,173.54,-19.4
217,30.82,27.89,30.55,28.62,28.27,29.16,26.73,24.01,24.03,23.75,24.08,24.58,175.31,147.18,-16.05
218,81.45,75.8,75.86,75.43,83.9,79.18,77.21,75.16,69.95,72.99,72.68,73.94,471.62000000000006,441.93,-6.3
219,22.76,19.1,19.23,17.67,17.0,18.62,17.02,17.57,17.63,18.59,17.81,18.64,114.38000000000001,107.26,-6.22
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
223,9.73,9.32,9.45,9.17,9.19,8.94,8.86,5.07,0.0,0.0,0.0,0.0,55.8,13.93,-75.04
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
225,16.18,15.25,16.16,19.02,23.26,22.86,21.23,23.09,16.36,19.01,29.17,31.5,112.73,140.36,24.51
226,39.41,36.72,37.66,33.72,34.09,31.16,31.85,33.64,32.43,33.37,35.74,34.97,212.76,202.00000000000003,-5.06
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
228,50.88,51.98,55.92,53.91,53.59,50.58,45.49,52.98,52.66,56.46,53.21,56.36,316.85999999999996,317.16,0.09
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
230,8.69,7.58,7.89,7.78,8.01,7.8,7.49,8.11,8.28,9.06,8.59,8.96,47.75,50.49,5.74
231,14.86,13.59,14.23,14.34,13.61,13.39,12.77,13.53,13.6,13.09,13.61,12.36,84.02,78.96,-6.02
232,77.83,71.5,76.87,80.5,85.46,77.51,72.27,81.58,83.46,82.24,84.34,90.08,469.66999999999996,493.96999999999997,5.17
233,23.59,21.21,23.01,22.5,19.71,18.83,17.07,18.66,13.3,6.57,53.35,54.15,128.85000000000002,163.1,26.58
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
235,38.51,35.48,38.41,37.97,37.12,36.03,32.36,35.11,36.67,37.61,36.33,34.99,223.52,213.07,-4.68
236,17.44,15.12,14.92,14.83,14.16,11.67,9.39,6.78,12.13,15.04,14.31,14.45,88.14,72.10000000000001,-18.2
237,29.61,27.92,33.84,35.44,33.54,25.85,23.54,16.7,30.58,35.48,34.19,34.08,186.2,174.57,-6.25
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
239,23.08,19.76,17.69,16.35,16.11,12.94,10.21,7.82,14.69,17.21,20.5,21.62,105.92999999999999,92.05000000000001,-13.1
240,25.93,26.27,27.95,27.15,28.3,24.18,22.68,15.19,28.43,31.47,30.33,31.52,159.78000000000003,159.62,-0.1
241,50.88,45.21,47.04,46.81,43.74,33.55,29.77,21.24,42.52,47.33,47.56,51.8,267.23,240.22000000000003,-10.11
242,17.16,14.71,15.82,14.57,14.11,11.53,9.68,7.0,13.31,14.99,14.02,13.01,87.9,72.01,-18.08
243,55.67,48.21,54.35,53.25,55.29,45.64,38.83,26.8,50.1,53.72,54.38,56.68,312.40999999999997,280.51,-10.21
244,17.08,17.12,18.87,17.54,16.57,13.6,12.13,8.16,16.2,17.46,16.74,17.19,100.78,87.88,-12.8
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
251,31.56,29.52,31.51,30.8,31.62,30.53,31.45,31.8,30.96,31.36,26.67,26.18,185.54,178.42000000000002,-3.84
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
387,0.0,5.38,4.48,37.72,81.06,57.63,1.87,0.0,36.4,64.89,79.05,55.89,186.26999999999998,238.09999999999997,27.83
388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
