mes;petroleo_m3;gas_miles_m3;agua_m3
1;3349596,8871510597;3837767,102546787;29303193,87770069
2;3137697,356848055;3887533,912256209;27014823,305829275
3;3393408,4130371143;4174235,703147932;29135227,168054517
4;3297381,3837097436;4084632,725946245;28351698,10587155
5;3416158,7398662837;4654304,319770679;29417609,33982707
6;3196899,218521664;4426174,970321089;26493132,33585944
7;3374948,560515981;4709009,647433341;27747723,27495002
8;3544882,0315038166;4743924,602046109;29053864,95842895
9;3376836,718510958;4400334,223243032;28193264,624491654
10;3664219,223901312;4127371,09705456;29291665,121095955
11;3619163,6846398753;3814646,988005098;28231001,677382167
12;3773339,84783703;3858466,954758252;28732616,98203503
