idpozo,1,2,3,4,5,6,7,8,9,10,11,primer_semestre,segundo_semestre,variacion
212,63.15,53.37,58.82,61.52,69.49,59.78,53.6,69.08,61.93,63.0,61.44,366.13,309.05,-15.59
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
214,81.3,76.13,87.61,78.79,83.08,69.73,67.96,78.28,77.28,75.56,82.52,476.64000000000004,381.6,-19.94
215,65.0,54.77,59.68,55.42,57.71,51.9,44.4,57.45,54.72,53.16,49.6,344.47999999999996,259.33,-24.72
216,41.57,38.04,42.76,42.11,45.73,36.4,38.85,41.14,39.52,43.81,41.73,246.61,205.05,-16.85
217,23.07,21.96,24.48,24.94,26.06,24.66,22.55,25.57,24.38,25.15,25.09,145.17000000000002,122.74000000000001,-15.45
218,74.25,68.38,80.66,75.31,74.44,59.4,50.37,55.7,54.45,55.53,60.86,432.44,276.90999999999997,-35.97
219,19.11,15.97,18.66,17.51,16.76,13.63,13.02,15.02,14.84,15.45,14.39,101.64,72.72,-28.45
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
225,34.53,30.44,33.81,35.44,35.76,33.4,30.07,34.62,34.0,36.18,34.67,203.38,169.54000000000002,-16.64
226,37.2,34.85,39.42,38.87,40.54,36.89,38.89,43.85,39.72,31.17,30.39,227.76999999999998,184.01999999999998,-19.21
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
228,54.8,49.51,54.73,37.28,45.19,49.16,46.21,51.6,46.96,50.62,47.45,290.66999999999996,242.84000000000003,-16.46
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
