tipo_recurso;mes;petroleo_m3;gas_miles_m3
CONVENCIONAL;1;1523168,6342191508;1653717,234746405
CONVENCIONAL;2;1362733,939512376;1522079,4792013
CONVENCIONAL;3;1510436,297918709;1610139,464620935
CONVENCIONAL;4;1450864,413268484;1569761,380721662
CONVENCIONAL;5;1491018,313219162;1627205,480682385
CONVENCIONAL;6;1431398,9873333324;1628893,65349413
CONVENCIONAL;7;1465270,7933873155;1670211,477084329
CONVENCIONAL;8;1449865,9520904657;1625058,1599903237
CONVENCIONAL;9;1388417,3481058194;1493114,0500977433
CONVENCIONAL;10;1413619,351186843;1467649,3656084756
CONVENCIONAL;11;1323817,3696631552;1365139,2665406084
NO CONVENCIONAL;1;2208382,04889736;2638393,110599401
NO CONVENCIONAL;2;1995834,27074728;2530107,81317152
NO CONVENCIONAL;3;2224261,87142094;2535825,737748372
NO CONVENCIONAL;4;2130590,06254406;2529703,52452958
NO CONVENCIONAL;5;2232507,794715258;2948922,889551629
NO CONVENCIONAL;6;2295173,4761987;3148674,071302819
NO CONVENCIONAL;7;2531254,296487754;3310201,593081371
NO CONVENCIONAL;8;2619105,28405804;3273681,430509689
NO CONVENCIONAL;9;2627638,782250587;2664061,907783265
NO CONVENCIONAL;10;2822112,5136415698;2373334,814021514
NO CONVENCIONAL;11;2771639,660205882;2298684,022171915
NO DISCRIMINADO;1;348,692244;15,474683
NO DISCRIMINADO;2;296,8235717;14,078091
NO DISCRIMINADO;3;331,3871906;15,207397
NO DISCRIMINADO;4;341,3199041;13,940395
NO DISCRIMINADO;5;333,9908072;14,06534
NO DISCRIMINADO;6;376,1809969;15,811135
NO DISCRIMINADO;7;244,7034278;9,502334
NO DISCRIMINADO;8;0,0;0,0
NO DISCRIMINADO;9;0,0;0,0
NO DISCRIMINADO;10;0,0;0,0
NO DISCRIMINADO;11;0,0;0,0
SIN RESERVORIO;1;0,0;1809,696
SIN RESERVORIO;2;0,0;1647,012
SIN RESERVORIO;3;0,0;1777,877
SIN RESERVORIO;4;0,0;1777,554
SIN RESERVORIO;5;0,0;1771,699
SIN RESERVORIO;6;0,0;1518,632
SIN RESERVORIO;7;0,0;1503,961
SIN RESERVORIO;8;0,0;1435,713
SIN RESERVORIO;9;0,0;1348,187
SIN RESERVORIO;10;0,0;1162,737
SIN RESERVORIO;11;0,0;1251,342
