empresa;petroleo_m3;gas_miles_m3
YPF S.A.;19469972,06;10896601,34
PAN AMERICAN ENERGY SL;5677400,484566;5371718,137912
VISTA ENERGY ARGENTINA SAU;3653394,512;422539,578
PLUSPETROL S.A.;2355124,2313;3657669,62631
SHELL ARGENTINA S.A.;1575334,46;213194,77
TECPETROL S.A.;1258091,398674;6391392,473703
CGC ENERGIA SAU;916506,181506;703703,286892
CHEVRON ARGENTINA S.R.L.;771534,722;320185,505725
KILWER S.A.;601489,07131;43598,200752
PETROLEOS SUDAMERICANOS S.A.;598130,842374;64687,093137444
PLUSPETROL CUENCA NEUQUINA S.R.L.;581554,49;311447,98
COMPAÑÍAS ASOCIADAS PETROLERAS S.A.;577341,68;25615,13
CAPEX S.A.;573426,66;498851,34
TOTAL AUSTRAL S.A.;547175,986737;11336782,063396446
PETROQUIMICA COMODORO RIVADAVIA S.A.;484905,649085;172187,142557
PAMPA ENERGIA S.A.;468037,422811;4116808,391838
PECOM SERVICIOS ENERGIA SAU;446167,886316;12502,8434096
Petrolera Aconcagua Energia S.A.;416406,087852556;158453,713164276
PETROLERA EL TREBOL S.A.;218707,06839;13159,597699
CROWN POINT ENERGIA S.A.;155032,283545;7773,41362
QUINTANA E&P ARGENTINA S.R.L.;109791,3509608713;359521,73373107397
OILSTONE ENERGIA S.A.;92634,283457;217018,376659
BENTIA ENERGY S.A.;82407,956;90603,7433
COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.;80027,038945;1105838,580071
VENOIL S.A.;68127,01639;61996,97
ENAP SIPETROL ARGENTINA S.A.;66620,42;323860,67
PETROLERA SANTA MARIA SAU;52369,56;232542,6
VACA MUERTA INVERSIONES SAU;45955,19;19794,97
HATTRICK ENERGY SAS;45355,181;0,0
ROCH S.A.;38412,317534;85232,776055
PRESIDENT PETROLEUM S.A.;36921,769041089;1810,401325132
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.;31945,2;27412,56
RECURSOS Y ENERGIA FORMOSA S.A.;28115,48;3762,25
COLHUE HUAPI S.A.;20680,0;1493,3
PATAGONIA ENERGY S.A.;20413,748;5219,7767
INGENIERIA ALPA S.A.;15764,05;1450,28
MADALENA ENERGY ARGENTINA SRL ;12574,374949;10067,686157
PAMPETROL S.A.P.E.M;11917,386;1233,819768
Pilgrim Energy S.A.;9717,2537;7993,1965
JUJUY HIDROCARBUROS SAU;9140,089;2747,7110000000002
E.M.E.S.A;8458,098;571,665
INTEROIL ARGENTINA S A;7628,69;53040,79
HIGH LUCK GROUP LTD. - SUCURSAL ARGENTINA;6959,701409033333;66,101
GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA);6514,61;585,9708800000001
MEDANITO S.A.;4984,982357994;1308,8498064
FLXS OGE S.A ;4691,249004;111312,892566
FOMICRUZ S.E.;4413,0;501,0
G Y G OIL SERVICE SRL;1515,28;1005,7
PATAGONIA RESOURCES S.A. ;878,685;1909,088
PETROFARO S.A.;338,92;6315,55
PETROLSUR ENERGIA S.A. ;199,6;10057,354
ALIANZA PETROLERA ARGENTINA S.A.;178,9;16514,426
INGENIERIA SIMA S.A.;0,0;0,0
CAPETROL ARGENTINA S.A.;0,0;0,0
CAPETROL S.A.;0,0;0,0
PETROMINERA CHUBUT S.E.;0,0;0,0
PETROLERA SAN MIGUEL S.A.;0,0;0,0
PETROLERA DEL COMAHUE S.A.;0,0;0,0
SELVA MARIA OIL S.A.;0,0;0,0
